Name,Link,Rating,Enroll,Instructor,Time,Level,Price,Practice Task,Knowledge,Programing Language,Tool,Platform,Framework,Program,Subtitle,Subject,Organization
"Introduction to Web Development with HTML,CSS,JavaScript",https://www.coursera.org/learn/introduction-to-web-development-with-html-css-javacript,4.4,12772,Upkar Lidder,16 hours,Beginner,Free,,"cloud development ecosystem,cloud applications","html,css,javascript",git,,,"Cloud Application Development Foundations Specialization,IBM Full Stack Cloud Developer Professional Certificate",English,Computer Science,IBM
Single Page Web Applications with AngularJS,https://www.coursera.org/learn/single-page-web-apps-with-angularjs,4.9,100605,Yaakov Chaikin,47 hours,Intermediate,Free,"build a fully functional,well organized and tested web application using angularjs and deploy it to the cloud.","unit testing,web development","javascript,html",,,angularjs,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,
Bootstrap Basics: Program Responsive Websites,https://www.udemy.com/course/code-responsive-website-twitter-bootstrap/,4.7,5307,"Brad Hussey,Code College",3 hours,,$13.99 ,built a fully-responsive webpage with bootstrap 3,,"html,css","textwranger,espresso",,"jquery,bootstrap",,English,Computer Science,
"Responsive Website Basics: Code with HTML,CSS,and JavaScript ",https://www.coursera.org/learn/website-coding,4.6,172003,"Dr Matthew Yee-King,Dr Marco Gillies,Dr Kate Devlin",25 hours,,Free,,,"html,css,javascript",,,"jquery,bootstrap",Responsive Website Development and Design Specialization,"Arabic,French,Portuguese (European),Chinese (Simplified),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of London,Goldsmiths,University of London"
Ruby on Rails: Training and Skills to Build Web Applications,https://www.udemy.com/course/the-startups-guide-to-web-development-with-ruby-on-rails/,4.2,9432,Alex Yang,7 hours,,$13.99 ,,"stripe api,navigate github,navigate heroku",ruby,,heroku,"ruby on rails,bootstrap",,English,Computer Science,
Free HTML Tutorial - Introduction to Web Development: HTML,https://www.udemy.com/course/webdevelopment101_html/,4.5,37668,Brian Gorman,3 hours,,Free,,,html,,,,,English,Computer Science,
Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month,https://www.udemy.com/course/learn-to-build-beautiful-html5-and-css3-websites-in-1-month/,4.7,19319,Ryan Bonhardt,11 hours,,$13.99 ,,,"html,css",,,,,English,Computer Science,
Building Web Applications in PHP,https://www.coursera.org/learn/web-applications-php,4.7,121715,Charles Russell Severance,31 hours,Intermediate,Free,,"requestresponse cycle,web markup","html,php,css","xampp,mamp",,,Web Applications for Everybody Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Michigan
"JavaScript,jQuery,and JSON",https://www.coursera.org/learn/javascript-jquery-json,4.6,82726,Charles Russell Severance,26 hours,Intermediate,Free,,document object model (dom),"javascript,json,php",,,jquery,Web Applications for Everybody Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Michigan
Introduction to Structured Query Language (SQL),https://www.coursera.org/learn/intro-sql,4.8,128644,Charles Russell Severance,16 hours,Intermediate,Free,,,sql,"mamp,xampp,mysql,phpmyadmin",,,Web Applications for Everybody Specialization,"Arabic,French,Portuguese (European),Serbian,Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Michigan
Introduction to Web Development,https://www.coursera.org/learn/web-development,4.7,181981,Daniel Randall,22 hours,Beginner,Free,,,"css,html,javascript",,,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of California,Davis"
"HTML,CSS,and Javascript for Web Developers",https://www.coursera.org/learn/html-css-javascript-for-web-developers,4.7,640509,Yaakov Chaikin,40 hours,,Free,build a fully functional web application that utilizes ajax to expose server-side functionality and data to the end user.,,"html,javascript,css",,,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,Johns Hopkins University
How To Create a Website in a Weekend! (Project-Centered Course),https://www.coursera.org/learn/how-to-create-a-website,3.3,173766,"Dr.  Margaret Anne Schedel,Melissa Clarke",14 hours,,Free,"design,build,and publish a basic website that incorporates text,sound,images,hyperlinks,plug-ins,and social media interactivity","web design,websites,web development",,wordpress,,,,"Arabic,French,Portuguese (European),Greek,Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,The State University of New York
"Programming Foundations with JavaScript,HTML and CSS",https://www.coursera.org/learn/duke-programming-web,4.6,459737,"Susan H. Rodger,Robert Duvall,Owen Astrachan,Andrew D. Hilton",33 hours,Beginner,Free,build a fully functional web application that utilizes ajax to expose server-side functionality and data to the end user.,,"html,javascript,css,html5",,,,Java Programming and Software Engineering Fundamentals Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,Duke University
Web Application Development with JavaScript and MongoDB,https://www.coursera.org/learn/web-application-development,4.6,58939,Dr Matthew Yee-King,27 hours,,Free,,"simpleschema system,data read and write access,simpleschema,routing",javascript,mongodb,,meteor,Responsive Website Development and Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of London,Goldsmiths,University of London"
Learn Devops: Continuously Deliver Better Software,https://www.udemy.com/course/learn-devops-continuously-deliver-better-software/,4.3,15284,Edward Viaene,4.5 hours,,$13.99 ,,"devops,continuous delivery,automate the software development lifecycle (sdlc)",,"ansible,chef,kubernetes,docker",,,,"English,Spanish",Software Development Tools,
"Richard Stibbard's ""Ultimate Web Development Course""",https://www.udemy.com/course/the-ultimate-web-development-course/,4.5,23785,Richard Stibbard,11.5 hours,,$13.99 ,,ajax,"html5,css,php",mysql,,"jquery,mysqli",,,Web Development,
Back to School Web Development and Programming Bundle,https://www.udemy.com/course/back-to-school-web-development-and-programming-bundle/,4.9,18368,John Bura,44 hours,,$13.99 ,,,"html,html5,css,css3,c++,c#,javascript","game salad,stencyl,xcode,construct 2,adobe illustrator",,jquery,,English,Web Development,
Front-End Web Development with React,https://www.coursera.org/learn/front-end-react,4.7,136868,Jogesh K. Muppala,36 hours,Intermediate,Free,,"flux architecture,redux architecture, use fetch,rest api",javascript,,,"react,reactstrap,bootstrap",Full-Stack Web Development with React Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,The Hong Kong University of Science and Technology
Web Application Development: Basic Concepts,https://www.coursera.org/learn/web-app,4.3,44462,"Greg Heileman,Manel MartÌnez-RamÛn",19 hours,,Free,,web application,,,,ruby on rails,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of New Mexico
Software Architecture (SOLID) & Design Patterns in Java,https://www.udemy.com/course/basics-of-software-architecture-design-in-java/,4.6,14012,Holczer Balazs,6.5 hours,,$13.99 ,,"solid,core of design patterns,single responsibility principle,open / closed principle,liskov substitution principle,interface segregation principle,dependency inversion principle,design patterns,singleton pattern,factory pattern,builder pattern,prototype pattern,behavioral design patterns strategy pattern,command pattern,visitor pattern template pattern,structural design patterns,adapter pattern,facade pattern,decorator pattern,model-view-controller patterns,mvc",,java swing,,,,"English,French,German,Italian,Polish",Other IT & Software,
Software Processes and Agile Practices,https://www.coursera.org/learn/software-processes-and-agile-practices,4.7,92168,Kenny Wong,8 hours,,Free,,"agile,scrum",,,,,Software Product Management Specialization,"Arabic,French,Portuguese (European),Greek,Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Alberta
Microservices Software Architecture: Patterns and Techniques,https://www.udemy.com/course/microservices-software-architecture-patterns-and-techniques/,4,42374,Binary Brain,1 hours,,$14.99 ,,"microservices,software architecture patterns,technical challenges,common pitfalls",,,,,,English,Microservices,
Software Security,https://www.coursera.org/learn/software-security,4.6,67427,Michael Hicks,18 hours,,Free,,"buffer overflows,sql injection,session hijacking,fuzz testing,penetration test",,,,,Cybersecurity Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,"University of Maryland,College Park"
Software Architecture,https://www.coursera.org/learn/software-architecture,4.5,39452,Kenny Wong,10 hours,Intermediate,Free,document a java-based android application with uml diagrams and analyze evaluate the applicationís architecture using the architecture tradeoff analysis method (atam),"protocols,topologies,n-tier",uml,,,,Software Design and Architecture Specialization,"French,Portuguese (Brazilian),Russian,English,Spanish",Computer Science,University of Alberta
Big Data Analysis with Scala and Spark,https://www.coursera.org/learn/scala-spark-big-data,4.7,90190,Prof. Heather Miller,28 hours,,Free,,"big data,express algorithms,functional style,recommended background","scala,sql",apache spark,,,Functional Programming in Scala Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,…cole Polytechnique FÈdÈrale de Lausanne
The Complete 2020 Fullstack Web Developer Course,https://www.udemy.com/course/thecompletewebdeveloper/,4.6,85724,Kalob Taulien,67 hours,,$13.99 ,,,"html5,css3,python,php,javascript","mysql,github","wagtail cms,git,lamp stack",vanilla js,,English,Web Development,
Learning Dynamic Website Design - PHP MySQL and JavaScript,https://www.udemy.com/course/learning-dynamic-website-design/,4.3,48668,Infinite Skills,12.5 hours,,$13.99 ,,ajax,"php,css,javascript",mysql,,,,English,Web Development,
Free Android Development Tutorial - Learn Android 4.0 Programming in Java,https://www.udemy.com/course/android-tutorial/,4.6,200098,John Purcell,15.4 hours,,Free,,,java,,android,,,English,Mobile Development,
Responsive Web Design,https://www.coursera.org/learn/responsive-web-design,4.6,79660,"Dr Matthew Yee-King,Dr Kate Devlin,Dr Marco Gillies,Dr Mick Grierson",26 hours,,Free,,"responsive web design,different screen sizes, responsive grid layouts,design elements","html7,javascript,css",,,handlebars,Responsive Website Development and Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of London,Goldsmiths,University of London"
Object Oriented Programming in Java,https://www.coursera.org/learn/object-oriented-java,4.7,245627,"Mia Minnes,Leo Porter,Christine Alvarado",39 hours,Intermediate,Free,,"graphical user interfaces, logic programming,sorting algorithm,object-oriented programming (oop)",java,,,,,"Arabic,French,Portuguese (European),Chinese (Simplified),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of California San Diego
Kotlin for Java Developers,https://www.coursera.org/learn/kotlin-for-java-developers,4.7,79712,"Svetlana Isakova,Andrey Breslav",25 hours,Intermediate,Free,,java interoperability.,"kotlin,java",,,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,JetBrains
Understanding and Visualizing Data with Python,https://www.coursera.org/learn/understanding-visualization-data,4.7,93257,"Brenda Gunderson,Brady T. West,Kerby Shedden",21 hours,Beginner,Free,,"statistics,data analysis,data visualization (dataviz)",python,,,,Statistics with Python Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Data Science,University of Michigan
Web Programming with Python,https://www.udemy.com/course/web-programming-with-python/,4.2,35813,Infinite Skills,4 hours,,$13.99 ,,"object-oriented programming (oop),ftp,process web form data,utilize xml",python,,,django,,English,Web Development,
Python and Statistics for Financial Analysis,https://www.coursera.org/learn/python-statistics-financial-analysis,4.4,113506,Xuhu Wan,13 hours,Intermediate,Free,,"pandas dataframe,statistical concepts  build a trading model using multiple linear regression model,statistical analysis,financial analysis, financial data analysis,data visualization (dataviz)",python,,jupyter notebook,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish,Japanese",Business,The Hong Kong University of Science and Technology
Python Data Visualization,https://www.coursera.org/learn/python-visualization,4.7,32508,"Scott Rixner,Joe Warren",9 hours,Beginner,Free,,"analyzing existing data,generating visualizations of data",python,,,,Introduction to Scripting in Python Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish,Japanese",Computer Science,Rice University
Applied Text Mining in Python,https://www.coursera.org/learn/python-text-mining,4.2,119245,V. G. Vinod Vydiswaran,29 hours,Intermediate,Free,,"text mining,natural language processing",python,natural language toolkit (nltk),,,Applied Data Science with Python Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Data Science,University of Michigan
Using Python to Access Web Data,https://www.coursera.org/learn/python-network-data,4.8,530968,Charles Russell Severance,19 hours,,Free,,"regular expressions,protocols web browsers,retrieve data,web scraping","json,xml,python",,,,Python for Everybody Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Michigan
SQL for Data Science,https://www.coursera.org/learn/sql-for-data-science,4.6,360883,Sadie St. Lawrence,14 hours,Beginner,Free,,data analysis,sql,,,sqlite,Learn SQL Basics for Data Science Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Data Science,"University of California,Davis"
Big Data Integration and Processing,https://www.coursera.org/learn/big-data-integration-processing,4.4,64658,"Ilkay Altintas,Amarnath Gupta",18 hours,Beginner,Free,,big data,,"splunk,mongodb,apache spark",,,Big Data Specialization,"Arabic,French,Portuguese (European),Chinese (Simplified),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Data Science,University of California San Diego
"Learn Web Services: Design,Create,Consume & Secure SOAP and REST",https://www.udemy.com/course/java-web-services/,4.6,38102,Bharath Thippireddy,17 hours,,$13.99 ,,"contract first,code first web services,web service consumer,secure web services,ws-security standard,soap attachments,rest api,secure rest services,handle errors in rest,develop asynchronous web services,jersey rest, spring mvc rest",java,,,spring boot,,"English,Polish,Spanish",Other IT & Software,
Building Scalable Java Microservices with Spring Boot and Spring Cloud,https://www.coursera.org/learn/google-cloud-java-spring,4.3,62694,Google Cloud Training,13 hours,Intermediate,Free,,"pub/sub,spring integration",java,google cloud sql,,spring boot,Google Cloud,English,Computer Science,
Projects in PHP and MySQL,https://www.udemy.com/course/the-complete-web-development-course-learn-by-building-apps/,4,12384,"Eduonix Learning Solutions,Eduonix-Tech .",20 hours,,$18.99 ,,,"html,php,javascript",mysql,,jquery,,English,Web Development,
"ETL and Data Pipelines with Shell,Airflow and Kafka",https://www.coursera.org/learn/etl-and-data-pipelines-shell-airflow-kafka,4.8,3245,"Yan Luo,Jeff Grossman,Sabrina Spillner,Ramesh Sannareddy",13 hours,Beginner,Free,,"etl processes,elt processes,shell scripting,etl pipeline,data pipeline",,,"apache kafka,apache airflow",,,English,Information Technology,IBM
"Cloud Computing Concepts,Part 1",https://www.coursera.org/learn/cloud-computing,4.4,118730,Indranil Gupta,23 hours,Beginner,Free,,"clouds,key-value/nosql stores,classical distributed algorithms,widely-used distributed algorithms,distributed computing,cloud computing",c++,mapreduce,,,Cloud Computing Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Illinois at Urbana-Champaign
Functional Programming Principles in Scala,https://www.coursera.org/learn/scala-functional-programming,4.8,195608,Martin Odersky,41 hours,Intermediate,Free,,"functional programming,recursion,pattern matching,immutable data structures,recursion functional programming,immutable data types,higher-order function",scala,,,,Functional Programming in Scala Specialization,English,Computer Science,…cole Polytechnique FÈdÈrale de Lausanne
Software Architecture for the Internet of Things,https://www.coursera.org/learn/iot-software-architecture,4.3,22445,22.445,27 hours,,,,"software architecture,architectural pattern,non-functional requirement,software requirements",,,,,,"French,Portuguese (European),Russian,English,Spanish",Computer Science,EIT Digital
Reliable Google Cloud Infrastructure: Design and Process,https://www.coursera.org/learn/cloud-infrastructure-design-process,4.7,93008,Google Cloud Training,8 hours,Advanced,,,"microservice applications,architect cloud,hybrid networks,secure cloud applications,disaster recovery,site reliability engineering,cloud computing",,,google cloud,,,English,Information Technology,Google Cloud
Building Modern Python Applications on AWS,https://www.coursera.org/learn/building-modern-python-applications-on-aws,4.5,71565,"Morgan Willis,Jonathan Dion,Seph Robinson,Rick Hurst",24 hours,Intermediate,Free,,"greenfield serverless backend, aws global infrastructure",,"amazon api gateway,amazon cognito",aws,.net,Modern Application Development with Python on AWS Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Information Technology,Amazon Web Services
Mastering Android Programming,https://www.udemy.com/course/mastering-android-programming/,3.9,16255,EDUmobile Academy,15 hours,,$13.99 ,,,,,android,,,English,Programming Languages,
Free Android Development Tutorial - Learn Android 4.0 Programming in Java,https://www.udemy.com/course/android-tutorial/,4.6,200098,John Purcell,15.4 hours,,Free,,android development,java,,android,,,English,,
Learn Android Programming From Scratch - Basics,https://www.udemy.com/course/learn-android-programming-from-scratch-beta/,4.1,91561,"Eduonix Learning Solutions,Eduonix-Tech .,Eduonix Support",3 hours,,$13.99 ,,build mobile websites,,wordpress,,,,English,,
Java for Android,https://www.coursera.org/learn/java-for-android,4.5,187385,"Dr. Jerry Roth,Dr. Julie L. Johnson,Michael Walker,Dr. Douglas C. Schmidt",39 hours,Beginner,Free,,"logic programming,object-oriented programming (oop)",java,android studio,android,java collections,Android App Development Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,Vanderbilt University
"How To Make App For Iphone,Android,Kindle Without Coding",https://www.udemy.com/course/how-to-make-app-for-iphone-android-kindle-within-10-min/,4,53127,Maksym V,7 hours,,$13.99 ,,"android software development,ios app development",,,"android,ios,aws",,,English,Mobile Development,
Introduction To Swift Programming,https://www.coursera.org/learn/swift-programming,3.9,72315,Parham Aarabi,8 hours,,Free,,"ios app development,syntax computer programming",swift,,ios,,iOS App Development with Swift Specialization,"Arabic,French,Portuguese (European),Chinese (Simplified),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Toronto
Introduction to Programming in Swift 5,https://www.coursera.org/learn/swift-5-programming-introduction,4.4,16254,Mark Price,11 hours,Beginner,Free,,,swift,xcode,ios,,Swift 5 iOS Application Developer Specialization,"Arabic,French,Portuguese (European),Chinese (Simplified),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,LearnQuest
iOS App Development Basics,https://www.coursera.org/learn/ios-app-development-basics,4.2,36761,Parham Aarabi,6 hours,,Free,,"ios app development,computer programming",swift,xcode,ios,,iOS App Development with Swift Specialization,"Arabic,French,Portuguese (European),Chinese (Simplified),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Toronto
App Design and Development for iOS,https://www.coursera.org/learn/ios-app-design-development,4.1,24055,Parham Aarabi,9 hours,,Free,,"ios app development,core data,user interface,persistence",swift,,ios,,,English,Computer Science,Univerity of Toronto
"Android App Components - Intents,Activities,and Broadcast Receivers",https://www.coursera.org/learn/androidapps,4.2,40505,"Dr. Douglas C. Schmidt,Michael Walker,Dr. Jules White",14 hours,,Free,,"computer programming,android software development,concurrent computing",,android studio,android,,,"Arabic,French,Portuguese (European),Italian,Portuguese (Brazilian),Vietnamese,German,Russian,English,Spanish",Computer Science,"University of Maryland,College Park"
Programming Mobile Applications for Android Handheld Systems: Part 1,https://www.coursera.org/learn/android-programming,4.6,76235,Dr. Adam Porter,28 hours,,Free,,"android software development,user interface",,android studio,android,,,"Arabic,French,Portuguese (European),Italian,Portuguese (Brazilian),Vietnamese,German,Russian,English,Spanish",Computer Science,"University of Maryland,College Park"
Build Your First Android App (Project-Centered Course),https://www.coursera.org/learn/android-app,4.2,322763,"Dr. Virginie Galtier,Michel Ianotto ",22 hours,,Free,,android software development,,android studio,android,,,"Arabic,French,Portuguese (European),Italian,Portuguese (Brazilian),Vietnamese,German,Russian,English,Spanish",Computer Science,CentraleSupÈlec
The Complete Android N Developer Course,https://www.udemy.com/course/complete-android-n-developer-course/,4.4,154150,"Rob Percival,Marc Stock,Codestars by Rob Percival",32 hours,,$18.99 ,,android software development,,android studio,"android oreo,android",,,"English,French,German,Indonesian,Italian,Japanese,Polish,Portuguese,Romanian,Spanish,Turkish",Mobile Development,
Android Development Working With Databases Using Mysql & PHP,https://www.udemy.com/course/android-development-course/,3.8,67532,"Joe Parys,Ashutosh Pawar,Joe Parys Support",3.5 hours,,$13.99 ,,online database,"json,php",mysql,,,,,Mobile Development,
Free Android Development Tutorial - Android Material Design Slidenerd Style,https://www.udemy.com/course/android-material-design-zero-to-hero/,3.7,65149,Vivek Ramesh,11.2 hours,,Free,,"material design,recyclerview",,,,,,English,Mobile Development,
Software Architecture for the Internet of Things,https://www.coursera.org/learn/iot-software-architecture,4.3,22445,Frank Gielen,27 hours,,,,"software architecture,architectural pattern,non-functional requirement,software requirements",,,,,,English,,
Selenium WebDriver 4 With Java - Novice To Ninja + Interview,https://www.udemy.com/course/selenium-webdriver-with-java-testng-and-log4j/,4.4,34092,"Lets Kode It,Let's Kode It",43.5 hours,,$14.99 ,,"software testing,database testing,automation framework design,erformance testing",java,"jenkins,selenium,apache log4j,advanced reporting,cross-browser testing,selenium grid,apache maven,git,github,cucumber",,"web automation,selenium,maven,cucumber,testng",,English,Software Testing,
Free Software Testing Tutorial - Getting Started With Software Testing Context and Basics,https://www.udemy.com/course/getting-started-with-software-testing-context-and-basics/,4,34592,Ganesh Sahai,1.8 hours,,Free,,software testing,,,,,,English,Software Testing,
In-Depth Software QA Testing Training Course From Scratch,https://www.udemy.com/course/qa-software-testing-training-course/,3.9,22900,Vijay Shinde,26 hours,,$14.99 ,,software testing,,"jira,bugzilla",,,,English,Software Testing,
Introduction to Software Testing,https://www.coursera.org/learn/introduction-software-testing,4.4,40300,"Sanjai Rayadurgam,Kevin Wendt",30 hours,Intermediate,Free,,"writing test plans,writing defect reports,understanding of testing theory,writing tests,testing vocabulary",,,,,Software Testing and Automation Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Minnesota
Engineering Maintainable Android Apps,https://www.coursera.org/learn/engineeringandroidapps,4.5,26596,"Dr. Douglas C. Schmidt,Michael Walker,Dr. Jules White",9 hours,,Free,,"software testing,unit testing,android software development",,,,junit,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,Vanderbilt University
Big Data Modeling and Management Systems,https://www.coursera.org/learn/big-data-management,4.4,83474,"Ilkay Altintas,Amarnath Gupta",13 hours,,Free,,"data model,data modeling,big data,data management",,,,,Big Data Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,Turkish,English,Spanish",Data Science,University of California San Diego
Bootstrap Basics: Program Responsive Websites,https://www.udemy.com/course/code-responsive-website-twitter-bootstrap/,4.7,5307,"Brad Hussey,Code College",3 hours,,$13.99 ,embed a responsive google map right on website,,,,,"bootstrap,jquery",,English,Web Development,
Responsive Website Tutorial and Examples,https://www.coursera.org/learn/responsive-website-examples,4.2,34502,"Dr Matthew Yee-King,Dr Mick Grierson",24 hours,,Free,,,,web audio api,,"meteor,vis.js",Responsive Website Development and Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of London,Goldsmiths,University of London"
Responsive Website Development and Design Capstone,https://www.coursera.org/learn/responsive-web-design-capstone,4.6,7917,"Dr Matthew Yee-King,Dr James Ohene-Djan",14 hours,,Free,,web development,javascript,mongodb,,meteor,Responsive Website Development and Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of London,Goldsmiths,University of London"
Version Control with Git,https://www.coursera.org/learn/version-control-with-git,4.8,91253,Steve Byrnes,13 hours,,Free,,command-line interface,,"bitbucket,github,git",,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,Atlassian
Continuous Delivery & DevOps,https://www.coursera.org/learn/uva-darden-continous-delivery-devops,4.6,63013,Alex Cowan,8 hours,Beginner,Free,,"devops,continuous delivery,unit testing,infrastructure as code,system testing",,,,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Virginia
Understanding Google Cloud Security and Operations,https://www.coursera.org/learn/understanding-google-cloud-security-and-operations,4.8,4238,Google Cloud Training,2 hours,Beginner,Free,,"devops,sre",,,google cloud,,Google Cloud Digital Leader Training Professional Certificate,English,Information Technology,Google Cloud
"Python Scripting: Files,Inheritance,and Databases",https://www.coursera.org/learn/python-scripting-files-inheritance-databases,,,Aspen Olmsted,13 hours,Beginner,Free,,object-oriented programming (oop),python,,,numpy,Python Scripting for DevOps Specialization,English,Computer Science,LearnQuest
Introduction to Python Scripting for DevOps,https://www.coursera.org/learn/python-scripting-intro,4.3,1814,Aspen Olmsted,18 hours,Beginner,Free,,"data type,for loop,control flow",,,,,Python Scripting for DevOps Specialization,English,Computer Science,LearnQuest
Getting Started with Google Kubernetes Engine,https://www.coursera.org/learn/google-kubernetes-engine,4.5,99849,Google Cloud Training,11 hours,Intermediate,Free,,continuous delivery,,"jenkins,kubernetes",google cloud,,Preparing for Google Cloud Certification: Cloud DevOps Engineer Professional Certificate,English,Information Technology,Google Cloud
DevOps Culture and Mindset,https://www.coursera.org/learn/devops-culture-and-mindset,4.8,30303,Courtney Kissler,15 hours,Intermediate,Free,,devops,,,,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of California,Davis"
Developing Cloud Native Applications,https://www.coursera.org/learn/developing-cloud-native-applications,4.2,5161,Upkar Lidder,14 hours,Intermediate,Free,,"devops,cloud infrastructure,cloud native,rest api,restful api",json,"nosql,git,nosql cloudant database",cloud,,IBM Full Stack Cloud Developer Professional Certificate,English,Computer Science,IBM
Web Design: Strategy and Information Architecture,https://www.coursera.org/learn/web-design-strategy,4.8,43865,Roman Jaster,12 hours,Intermediate,Free,,"agile,waterfall",,"adobe illuastrator,adobe indesign,treejack",,,UI / UX Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Arts and Humanities,California Institute of the Arts
Agile Analytics,https://www.coursera.org/learn/uva-darden-agile-analytics,4.8,1758,Alex Cowan,15 hours,Beginner,Free,,"software development,product management,agile",,,,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Virginia
Software Development Processes and Methodologies,https://www.coursera.org/learn/software-processes,4.7,54314,"Praveen Mittal,Kevin Wendt",22 hours,Beginner,Free,,"software development,waterfall,rational unified process,v model,incremental,spiral,agile",,,,,Software Development Lifecycle Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Minnesota
Reviews & Metrics for Software Improvements,https://www.coursera.org/learn/reviews-and-metrics-for-software-improvements,4.7,28732,Kenny Wong,8 hours,,Free,,"software metric,agile,software project management",,,,,Software Product Management Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Alberta
Introduction to Software Product Management,https://www.coursera.org/learn/introduction-to-software-product-management,4.6,98519,Kenny Wong,5 hours,,Free,,"agile,software product management,software project management",,,,,Software Product Management Specialization,"Arabic,French,Portuguese (European),Greek,Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Alberta
Developing an Agile Team,https://www.coursera.org/learn/developing-agile-team,4.8,2885,Oxana Trotsenko,9 hours,Beginner,Free,,"agile,scrum",,,,,Agile Leadership Specialization,English,Business,University of Colorado System
Client Needs and Software Requirements,https://www.coursera.org/learn/client-needs-and-software-requirements,4.8,59727,Kenny Wong,12 hours,,Free,,"use case,agile,software requirement",,,,,Software Product Management Specialization,"Arabic,French,Portuguese (European),Greek,Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Alberta
Agile Software Development,https://www.coursera.org/learn/agile-software-development,4.7,83483,Praveen Mittal,12 hours,Intermediate,Free,,"agile,scrum",,software development kit (sdk,,,Software Development Lifecycle Specialization,"Arabic,French,Portuguese (European),Greek,Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Minnesota
