Enroll,Rate,Level,NumberOfCourse,Framework
105,4.7,Advanced,1,PANDAS
2,4.2,Advanced,1,PANDAS
4,4.3,Intermediate,1,IBMS FRAMEWORK
4,4.3,Intermediate,1,SCIKIT-LEARN
17,4.3,Intermediate,1,NUMPY
4,4.3,Intermediate,1,NUMPY
9,4.5,Intermediate,1,TRIPLE AIM
24,4.4,Intermediate,1,STATSMODELS
24,4.4,Intermediate,1,SEABORN
4,4.5,Intermediate,1,DJANGO
57,4.7,Intermediate,1,DJANGO
4,4.5,Intermediate,1,BOOTSTRAP
30,3.5,Intermediate,1,AB TESTING
39,4.9,Intermediate,1,PORTABLE DATA OBJECTS
39,4.9,Intermediate,1,PDO
1,4.9,,1,SHINY
1,0.0,Basic,1,RAND
1,0.0,Basic,1,SHINY
1,0.0,Basic,1,LEAFLET
13,4.6,Intermediate,1,ASP.NET
13,4.6,Intermediate,1,WINFORMS
0,0.0,Basic,1,SCIKIT-LEARN
5,4.6,Basic,1,NUMPY
0,0.0,Basic,1,NUMPY
5,4.6,Basic,1,PANDAS
213,4.7,Basic,1,PANDAS
0,0.0,Basic,1,PANDAS
6,3.7,Intermediate,1,POLYBASE
78,4.6,,1,GOOGLEVIS
78,4.6,,1,LEAFLET
15,4.3,Intermediate,1,DATASET
1,3.7,Basic,1,SPARK MLLIB
1,3.7,Basic,1,APACHE SPARK
17,4.3,Intermediate,1,REQUESTS
59,4.7,Intermediate,1,REQUESTS
5,4.6,Basic,1,MATPLOTLIB
105,4.7,Advanced,1,LIGHTGBM
105,4.7,Advanced,1,XGBOOST
18,4.7,Basic,1,STORM
17,4.3,Intermediate,1,URLLIB
0,0.0,Intermediate,1,ASYLO
9,4.6,Intermediate,1,APACHE SPARK
29,4.0,Advanced,1,SPARK SQL
