CourseName,CourseLink,CourseLevel,CourseDuration,CoursePrice,Enroll,Rate,Organization,Website,LinkToWebsite
Google Cloud Big Data and Machine Learning Fundamentals,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals,Intermediate,12.0,0.0,228,4.7,Google Cloud,coursera,www.coursera.org
Exploring ?and ?Preparing ?your ?Data with BigQuery,https://www.coursera.org/learn/gcp-exploring-preparing-data-bigquery,Basic,13.0,0.0,52,4.7,Google Cloud,coursera,www.coursera.org
Genomic Data Science and Clustering (Bioinformatics V),https://www.coursera.org/learn/genomic-data,Basic,10.0,0.0,12,4.2,University of California San Diego,coursera,www.coursera.org
Getting Started with Data Analytics on AWS,https://www.coursera.org/learn/getting-started-data-analytics-aws,Basic,4.0,0.0,7,4.6,Amazon Web Services,coursera,www.coursera.org
Getting Started with Data Warehousing and BI Analytics,https://www.coursera.org/learn/getting-started-with-data-warehousing-and-bi-analytics,Basic,12.0,0.0,0,0.0,IBM,coursera,www.coursera.org
"GIS Data Formats, Design and Quality",https://www.coursera.org/learn/gis-data,Intermediate,28.0,0.0,33,4.9,"University of California, Davis",coursera,www.coursera.org
GIS Data Acquisition and Map Design,https://www.coursera.org/learn/gis-data-acquisition-map-design,Basic,20.0,0.0,18,4.9,University of Toronto,coursera,www.coursera.org
Google Data Analytics Capstone: Complete a Case Study,https://www.coursera.org/learn/google-data-analytics-capstone,Basic,8.0,0.0,56,4.8,Google,coursera,www.coursera.org
Healthcare Data Models,https://www.coursera.org/learn/healthcare-data-models,Intermediate,12.0,0.0,4,4.5,"University of California, Davis",coursera,www.coursera.org
Explore Core Data Concepts in Microsoft Azure,https://www.coursera.org/learn/explore-core-data-concepts-microsoft-azure,Basic,9.0,0.0,3,4.8,Microsoft,coursera,www.coursera.org
Fitting Statistical Models to Data with Python,https://www.coursera.org/learn/fitting-statistical-models-data-python,Intermediate,16.0,0.0,24,4.4,University of Michigan,coursera,www.coursera.org
"Foundations: Data, Data, Everywhere",https://www.coursera.org/learn/foundations-data,Basic,20.0,0.0,512,4.8,Google,coursera,www.coursera.org
Foundations for Big Data Analysis with SQL,https://www.coursera.org/learn/foundations-big-data-analysis-sql,Basic,12.0,0.0,38,4.8,Cloudera,coursera,www.coursera.org
Fundamentals of Data Analysis,https://www.coursera.org/learn/fundamentals-of-data-analysis,Basic,18.0,0.0,0,0.0,LearnQuest,coursera,www.coursera.org
Fundamentals of Data Visualization,https://www.coursera.org/learn/fundamentals-of-data-visualization,Intermediate,14.0,0.0,0,0.0,University of Colorado Boulder,coursera,www.coursera.org
Fundamentals of Data Warehousing,https://www.coursera.org/learn/fundamentals-of-data-warehousing,Basic,14.0,0.0,0,0.0,LearnQuest,coursera,www.coursera.org
Creating New BigQuery Datasets and Visualizing Insights,https://www.coursera.org/learn/gcp-creating-bigquery-datasets-visualizing-insights,Basic,11.0,0.0,18,4.6,Google Cloud,coursera,www.coursera.org
Create and Lead an Ethical Data-Driven Organization,https://www.coursera.org/learn/ethical-data-driven-technology-leader,Basic,13.0,0.0,2,4.5,CertNexus,coursera,www.coursera.org
Communicate Effectively about Ethical Challenges in Data-Driven Technologies,https://www.coursera.org/learn/ethical-communication-data-driven-technologies,Basic,14.0,0.0,3,4.4,CertNexus,coursera,www.coursera.org
Ethical Issues in Data Science,https://www.coursera.org/learn/ethical-issues-data-science,Basic,23.0,0.0,0,4.4,University of Colorado Boulder,coursera,www.coursera.org
"ETL and Data Pipelines with Shell, Airflow and Kafka",https://www.coursera.org/learn/etl-and-data-pipelines-shell-airflow-kafka,Basic,13.0,0.0,2,4.8,IBM,coursera,www.coursera.org
Excel Basics for Data Analysis,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,Basic,12.0,0.0,66,4.8,IBM,coursera,www.coursera.org
Introduction to Data Analysis Using Excel,https://www.coursera.org/learn/excel-data-analysis,,20.0,0.0,209,4.7,Rice University,coursera,www.coursera.org
Data Visualization in Excel,https://www.coursera.org/learn/excel-data-visualization,Intermediate,18.0,0.0,13,4.9,Macquarie University,coursera,www.coursera.org
Excel Fundamentals for Data Analysis,https://www.coursera.org/learn/excel-data-analysis-fundamentals,Intermediate,15.0,0.0,67,4.8,Macquarie University,coursera,www.coursera.org
Executive Data Science Capstone,https://www.coursera.org/learn/executive-data-science-capstone,,2.0,0.0,13,4.7,Johns Hopkins University,coursera,www.coursera.org
Exploratory Data Analysis,https://www.coursera.org/learn/exploratory-data-analysis,,55.0,0.0,163,4.7,Johns Hopkins University,coursera,www.coursera.org
Exploratory Data Analysis with MATLAB,https://www.coursera.org/learn/exploratory-data-analysis-matlab,Basic,19.0,0.0,30,4.8,MathWorks,coursera,www.coursera.org
"Data Wrangling, Analysis and AB Testing with SQL",https://www.coursera.org/learn/data-wrangling-analysis-abtesting,Intermediate,16.0,0.0,30,3.5,"University of California, Davis",coursera,www.coursera.org
Creating Dashboards and Storytelling with Tableau,https://www.coursera.org/learn/dataviz-dashboards,Basic,15.0,0.0,37,4.6,"University of California, Davis",coursera,www.coursera.org
Visual Analytics with Tableau,https://www.coursera.org/learn/dataviz-visual-analytics,Basic,9.0,0.0,40,4.6,"University of California, Davis",coursera,www.coursera.org
Data Visualization with Tableau Project,https://www.coursera.org/learn/dataviz-project,Intermediate,12.0,0.0,21,4.6,"University of California, Davis",coursera,www.coursera.org
Essential Design Principles for Tableau,https://www.coursera.org/learn/dataviz-design,Basic,13.0,0.0,44,4.5,"University of California, Davis",coursera,www.coursera.org
