,ProgrammingLanguage,Framework,Knowledge,Tool,Platform,jobCount
18984,JAVA,SPARK,GOOGLE MAPSAPI,ANDROID KITKAT4,,65
18983,JAVA,SPARK,ANDROID LOLLIPOP APP DEVELOPMENT,ANDROID KITKAT4,,65
18982,JAVA,SPARK,APPLICATION DEVELOPMENT,ANDROID KITKAT4,,65
18981,JAVA,SPARK,FILE CACHE,ANDROID KITKAT4,,65
18980,JAVA,SPARK,DRAWABLES,ANDROID KITKAT4,,65
18979,JAVA,SPARK,MEMORY,ANDROID KITKAT4,,65
18978,JAVA,SPARK,XML,ANDROID KITKAT4,,65
18977,JAVA,SPARK,CANVAS,ANDROID KITKAT4,,65
18976,JAVA,SPARK,ANDROID NATIVE APPLICATION,ANDROID KITKAT4,,65
18975,JAVA,SPARK,ANDROID APIS,ANDROID KITKAT4,,65
18974,JAVA,SPARK,SETUP AND ACCESS THE SHERLOCK EXTENSION,ANDROID KITKAT4,,65
18973,JAVA,SPARK,ANDROID APPLICATION,ANDROID KITKAT4,,65
18972,JAVA,SPARK,DATA ANALYSIS,ANDROID KITKAT4,,65
18971,JAVA,SPARK,DATA PARALLEL,ANDROID KITKAT4,,65
18970,JAVA,SPARK,BIG DATA,ANDROID KITKAT4,,65
18969,JAVA,SPARK,MAPREDUCE,ANDROID KITKAT4,,65
18968,JAVA,SPARK,WEB APPLICATION,ANDROID KITKAT4,,65
18966,JAVA,SPARK,WEB APPLICATION DEVELOPMENT,SELENIUM IDE,,65
18967,JAVA,SPARK,WEB APPLICATION ARCHITECTURE,SELENIUM IDE,,65
19072,JAVA,SPARK,WEB APPLICATION DEVELOPMENT,GEOFENCING APP,,65
18989,JAVA,SPARK,DATABASE TESTING,ANDROID KITKAT4,,65
18991,JAVA,SPARK,WEB UI AUTOMATION,ANDROID KITKAT4,,65
19016,JAVA,SPARK,ANDROID APP DEVELOPMENT,ANDROID KITKAT4,,65
18992,JAVA,SPARK,AUTOMATION FRAMEWORK DESIGN,ANDROID KITKAT4,,65
19015,JAVA,SPARK,API,ANDROID KITKAT4,,65
19014,JAVA,SPARK,MOBILE DEVELOPMENT,ANDROID KITKAT4,,65
19013,JAVA,SPARK,ANDROID DEVELOPMENT,ANDROID KITKAT4,,65
19012,JAVA,SPARK,RICH INTERNET APPLICATION,ANDROID KITKAT4,,65
19011,JAVA,SPARK,RIA,ANDROID KITKAT4,,65
19010,JAVA,SPARK,MOBILE APPLICATIONS,ANDROID KITKAT4,,65
19009,JAVA,SPARK,WEBDRIVERWAIT,ANDROID KITKAT4,,65
19008,JAVA,SPARK,CSS SELECTORS,ANDROID KITKAT4,,65
19007,JAVA,SPARK,UNIT TEST,ANDROID KITKAT4,,65
19006,JAVA,SPARK,XPATH,ANDROID KITKAT4,,65
19005,JAVA,SPARK,AJAX,ANDROID KITKAT4,,65
